ro-ea.m.mlpMRF-005-01.txt data-ro-ga-1-001.txt
ro-ea.m.mlpMRF-006-02.txt data-ro-ga-1-001.txt
ro-ea.m.mlpMRF-007-03.txt data-ro-ga-1-001.txt
ro-ea.m.mlpMRF-008-04.txt data-ro-ga-1-001.txt
ro-ea.m.mlpMRF-009-05.txt data-ro-ga-1-001.txt
ro-3-ea.m.mlpMRF-189-05.txt data-ro-gp-3-003.txt -0.027162079474528245
ro-3-ea.m.mlpMRF-200-01.txt data-ro-gp-3-004.txt 0.04049864807115638
ro-3-ea.m.mlpMRF-201-02.txt data-ro-gp-3-004.txt 0.1318846462981421
ro-3-ea.m.mlpMRF-202-03.txt data-ro-gp-3-004.txt -0.030082905874917677
ro-3-ea.m.mlpMRF-203-04.txt data-ro-gp-3-004.txt 0.15436040326794126
ro-3-ea.m.mlpMRF-204-05.txt data-ro-gp-3-004.txt 0.21887177123195917
ro-3-ea.m.mlpMRF-215-01.txt data-ro-gp-3-005.txt 0.1049981076939395
ro-3-ea.m.mlpMRF-216-02.txt data-ro-gp-3-005.txt 0.4147606505797975
ro-3-ea.m.mlpMRF-217-03.txt data-ro-gp-3-005.txt 0.28874010487875656
ro-3-ea.m.mlpMRF-218-04.txt data-ro-gp-3-005.txt 0.05511644638426518
ro-3-ea.m.mlpMRF-219-05.txt data-ro-gp-3-005.txt -0.01976732553378332
ro-3-ea.m.mlpMRF-230-01.txt data-ro-gp-3-006.txt 0.4410380782359457
ro-3-ea.m.mlpMRF-231-02.txt data-ro-gp-3-006.txt 0.06936434885308884
ro-3-ea.m.mlpMRF-232-03.txt data-ro-gp-3-006.txt 0.100469985427452
ro-3-ea.m.mlpMRF-233-04.txt data-ro-gp-3-006.txt 0.13063375182654066
ro-3-ea.m.mlpMRF-234-05.txt data-ro-gp-3-006.txt 0.5479486434326988
ro-3-ea.m.mlpMRF-245-01.txt data-ro-gp-3-007.txt 0.6044389413719227
ro-3-ea.m.mlpMRF-246-02.txt data-ro-gp-3-007.txt 0.17026642994790933
ro-3-ea.m.mlpMRF-247-03.txt data-ro-gp-3-007.txt 0.06355526132096102
ro-3-ea.m.mlpMRF-248-04.txt data-ro-gp-3-007.txt 0.30520413889461373
ro-3-ea.m.mlpMRF-249-05.txt data-ro-gp-3-007.txt 0.6188004728062549
ro-3-ea.m.mlpMRF-260-01.txt data-ro-gp-3-008.txt 0.03612265910027737
ro-3-ea.m.mlpMRF-261-02.txt data-ro-gp-3-008.txt 0.07882507742552125
ro-3-ea.m.mlpMRF-262-03.txt data-ro-gp-3-008.txt -0.03562923233306656
ro-3-ea.m.mlpMRF-263-04.txt data-ro-gp-3-008.txt -0.018120030244303233
ro-3-ea.m.mlpMRF-264-05.txt data-ro-gp-3-008.txt 0.06465118352209928
ro-3-ea.m.mlpMRF-275-01.txt data-ro-gp-3-009.txt 0.034749930084532046
ro-3-ea.m.mlpMRF-276-02.txt data-ro-gp-3-009.txt 1.7664130992824716E-4
ro-3-ea.m.mlpMRF-277-03.txt data-ro-gp-3-009.txt 0.282160217925239
ro-3-ea.m.mlpMRF-278-04.txt data-ro-gp-3-009.txt 0.047309502027597136
ro-3-ea.m.mlpMRF-279-05.txt data-ro-gp-3-009.txt 0.526540627997556
ro-3-ea.m.mlpMRF-290-01.txt data-ro-gp-3-010.txt 0.32750212009478896
ro-3-ea.m.mlpMRF-291-02.txt data-ro-gp-3-010.txt 0.0010953260614048861
ro-3-ea.m.mlpMRF-292-03.txt data-ro-gp-3-010.txt 0.6257488608922871
